'Non bird of prey', 2, 'Short-tailed'
'Non bird of prey', 2, 'Southern'
'Non bird of prey', 2, 'Northern'
'Non bird of prey', 2, 'Gray-faced'
'Non bird of prey', 3, 'Kermadec'
'Non bird of prey', 3, 'Trindade'
'Non bird of prey', 2, 'Herald'
'Non bird of prey', 2, "Murphy's"
'Non bird of prey', 3, 'Providence'
'Non bird of prey', 2, "Zino's"
'Non bird of prey', 2, "Fea's"
'Non bird of prey', 2, 'Mottled'
'Non bird of prey', 3, 'Bermuda'
'Non bird of prey', 2, 'Black-capped'
'Non bird of prey', 4, 'Juan Fernandez'
'Non bird of prey', 3, 'Hawaiian'
'Non bird of prey', 2, 'White-necked'
'Non bird of prey', 2, 'Bonin'
'Non bird of prey', 2, 'Black-winged'
'Non bird of prey', 1, "Cook's"
'Non bird of prey', 3, "Stejneger's"
'Non bird of prey', 2, 'Phoenix'
'Non bird of prey', 2, "Bulwer's"
'Non bird of prey', 2, "Jouanin's"
'Non bird of prey', 3, 'Tahiti'
'Non bird of prey', 3, "Parkinson's"
'Non bird of prey', 1, 'Streaked'
'Non bird of prey', 2, "Cory's"
'Non bird of prey', 3, 'Cape Verde'
'Non bird of prey', 3, 'Pink-footed'
'Non bird of prey', 3, 'Flesh-footed'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 2, 'Wedge-tailed'
'Non bird of prey', 2, "Buller's"
'Non bird of prey', 2, 'Sooty'
'Non bird of prey', 2, 'Short-tailed'
'Non bird of prey', 2, 'Christmas'
'Non bird of prey', 1, 'Manx'
'Non bird of prey', 2, "Newell's"
'Non bird of prey', 2, "Bryan's"
'Non bird of prey', 3, 'Black-vented'
'Non bird of prey', 3, 'Barolo'
'Non bird of prey', 3, "Audubon's"
'Non bird of prey', 2, "Wilson's"
'Non bird of prey', 2, 'White-faced'
'Non bird of prey', 4, 'European'
'Non bird of prey', 2, 'Fork-tailed'
'Non bird of prey', 1, 'Ringed'
'Non bird of prey', 2, "Leach's"
'Non bird of prey', 2, "Townsend's"
'Non bird of prey', 2, "Ainley's"
'Non bird of prey', 2, "Swinhoe's"
'Non bird of prey', 2, 'Ashy'
'Non bird of prey', 2, 'Band-rumped'
'Non bird of prey', 2, 'Wedge-rumped'
'Non bird of prey', 1, 'Black'
'Non bird of prey', 2, "Tristram's"
'Non bird of prey', 1, 'Least'
'Non bird of prey', 2, 'White-tailed'
'Non bird of prey', 2, 'Red-billed'
'Non bird of prey', 2, 'Red-tailed'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 1, 'Wood'
'Non bird of prey', 2, 'Lesser'
'Non bird of prey', 4, 'Magnificent'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 1, 'Masked'
'Non bird of prey', 2, 'Nazca'
'Non bird of prey', 3, 'Blue-footed'
'Non bird of prey', 1, 'Brown'
'Non bird of prey', 3, 'Red-footed'
'Non bird of prey', 2, 'Northern'
'Non bird of prey', 1, "Brandt's"
'Non bird of prey', 2, 'Red-faced'
'Non bird of prey', 3, 'Pelagic'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 4, 'Neotropic'
'Non bird of prey', 4, 'Double-crested'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 5, 'American White'
'Non bird of prey', 1, 'Brown'
'Non bird of prey', 4, 'American'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 2, 'Yellow'
'Non bird of prey', 1, 'Least'
'Non bird of prey', 3, 'Bare-throated'
'Non bird of prey', 2, 'Great Blue'
'Non bird of prey', 1, 'Gray'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 5, 'Intermediate'
'Non bird of prey', 2, 'Chinese'
'Non bird of prey', 2, 'Little'
'Non bird of prey', 2, 'Western'
'Non bird of prey', 2, 'Snowy'
'Non bird of prey', 3, 'Little Blue'
'Non bird of prey', 3, 'Tricolored'
'Non bird of prey', 2, 'Reddish'
'Non bird of prey', 2, 'Cattle'
'Non bird of prey', 2, 'Chinese'
'Non bird of prey', 1, 'Green'
'Non bird of prey', 3, 'Striated'
'Non bird of prey', 2, 'Black-crowned'
'Non bird of prey', 3, 'Yellow-crowned'
'Non bird of prey', 1, 'White'
'Non bird of prey', 2, 'Scarlet'
'Non bird of prey', 2, 'Glossy'
'Non bird of prey', 2, 'White-faced'
'Non bird of prey', 2, 'Sacred'
'Non bird of prey', 3, 'Roseate'
'Non bird of prey', 2, 'Yellow'
'Non bird of prey', 1, 'Black'
'Non bird of prey', 1, 'Corn'
'Non bird of prey', 2, "Ridgway's"
'Non bird of prey', 1, 'King'
'Non bird of prey', 2, 'Clapper'
'Non bird of prey', 3, 'Virginia'
'Non bird of prey', 3, 'Rufous-necked'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Laysan'
'Non bird of prey', 3, 'Hawaiian'
'Non bird of prey', 2, 'Paint-billed'
'Non bird of prey', 2, 'Spotted'
'Non bird of prey', 2, 'Purple'
'Non bird of prey', 2, 'Western'
'Non bird of prey', 3, 'Gray-headed'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 3, 'Hawaiian'
'Non bird of prey', 4, 'American'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 1, 'Gray'
'Non bird of prey', 2, 'Sandhill'
'Non bird of prey', 2, 'Sarus'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 2, 'Hooded'
'Non bird of prey', 2, 'Whooping'
'Non bird of prey', 3, 'Double-striped'
'Non bird of prey', 2, 'Black-winged'
'Non bird of prey', 2, 'Black-necked'
'Non bird of prey', 4, 'American'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 4, 'American'
'Non bird of prey', 1, 'Black'
'Non bird of prey', 3, 'Black-bellied'
'Non bird of prey', 4, 'European'
'Non bird of prey', 4, 'American'
'Non bird of prey', 3, 'Pacific'
'Non bird of prey', 2, 'Northern'
'Non bird of prey', 3, 'Sociable'
'Non bird of prey', 2, 'Lesser'
'Non bird of prey', 2, 'Greater'
'Non bird of prey', 2, 'Collared'
'Non bird of prey', 2, 'Snowy'
'Non bird of prey', 2, "Wilson's"
'Non bird of prey', 3, 'Common Ringed'
'Non bird of prey', 5, 'Semipalmated'
